i,j,k,t,v
410,1,852352,2021,77784.1
410,1,852352,2022,3966.6
410,1,852352,2023,25964.4
410,2,852352,2021,25814.7
410,2,852352,2022,51043.7
410,2,852352,2023,9358.2
410,3,852352,2021,50655.0
410,3,852352,2022,8508.2
410,3,852352,2023,8501.3
410,4,852352,2021,58526.5
410,4,852352,2022,26606.7
410,4,852352,2023,78216.4
410,5,852352,2021,3950.9
410,5,852352,2022,36163.4
410,5,852352,2023,9937.7
410,6,852352,2021,28758.9
410,6,852352,2022,79859.6
410,6,852352,2023,71218.6
410,7,852352,2021,4817.6
410,7,852352,2022,45497.2
410,7,852352,2023,52178.0
410,8,852352,2021,17553.2
410,8,852352,2022,12463.3
410,8,852352,2023,72446.1
410,9,852352,2021,77536.5
410,9,852352,2022,79359.5
410,9,852352,2023,63391.2
410,10,852352,2021,53416.7
410,10,852352,2022,28312.7
410,10,852352,2023,14540.5
410,11,852352,2021,7239.5
410,11,852352,2022,55770.5
410,11,852352,2023,62993.1
410,12,852352,2021,66289.8
410,12,852352,2022,73187.4
410,12,852352,2023,70514.4
